product_id,product_name,category,sub_category,brand,supplier,price,discount_percent,stock_quantity,rating,reviews_count,weight_kg,color,size,material,warranty_years,country,warehouse_city,created_date,status
P1015,Place Table,Furniture,Table,Adidas,Lynch-Gonzalez,23779,7,528,4.7,731,12.85,Silver,Small,Plastic,4,Cote d'Ivoire,Mumbai,2024-09-11,Active
P1016,Specific Shirt,Fashion,Shirt,Samsung,Dawson-Booth,18257,15,562,4.5,5171,14.02,Silver,Small,Plastic,3,Tajikistan,Delhi,2026-07-17,Active
P1017,Third Jacket,Fashion,Jacket,Nike,Evans-Hicks,94554,25,546,3.6,8273,6.97,Blue,Small,Aluminium,4,Svalbard & Jan Mayen Islands,Chennai,2025-12-22,Active
P1018,Use Shoes,Fashion,Shoes,Samsung,"English, Smith and Cox",42689,39,295,4.6,5736,10.13,Silver,Standard,Metal,2,Trinidad and Tobago,Delhi,2026-01-29,Active
P1019,Lawyer Jeans,Fashion,Jeans,Adidas,"Clark, Nielsen and Rhodes",45080,21,13,3.8,7246,9.98,Red,Medium,Metal,1,Saudi Arabia,Pune,2026-07-15,Inactive
P1020,Production Sofa,Furniture,Sofa,IKEA,Horn and Sons,94928,32,50,3.9,7428,5.17,Black,Small,Plastic,3,Djibouti,Bangalore,2026-07-01,Active
P1021,As Jeans,Fashion,Jeans,Samsung,Ortega Inc,81854,16,310,3.2,1784,18.15,Silver,Small,Leather,0,Dominican Republic,Bangalore,2025-04-27,Active
P1022,Strategy Headphones,Electronics,Headphones,Adidas,"Alvarado, Lambert and Murray",4256,31,362,3.2,1878,17.82,White,Small,Aluminium,4,Cayman Islands,Delhi,2024-09-04,Inactive
P1023,Paper Laptop,Electronics,Laptop,Samsung,Hughes-Ray,84682,37,88,5.0,5083,5.78,White,Standard,Aluminium,3,Peru,Delhi,2026-05-16,Active
P1024,Crime Jeans,Fashion,Jeans,Adidas,Rivera Ltd,55209,32,153,3.8,3827,11.24,Blue,Large,Plastic,3,Swaziland,Hyderabad,2025-12-07,Active
P1025,For Chair,Furniture,Chair,Samsung,Adkins-Harper,25228,6,634,3.8,4062,17.95,Silver,Medium,Aluminium,4,Hungary,Delhi,2026-06-07,Inactive
P1026,Front Jeans,Fashion,Jeans,Nike,Shields LLC,92850,28,61,3.8,4736,6.75,Red,Large,Leather,4,Liechtenstein,Pune,2025-12-20,Inactive
P1027,Tree Smart Watch,Electronics,Smart Watch,Adidas,"Hawkins, Mcdaniel and Johnson",34913,2,587,4.3,1975,6.36,Black,Large,Aluminium,3,Belize,Chennai,2026-03-15,Active
P1028,Blue Rice,Grocery,Rice,IKEA,Smith Ltd,60114,15,786,3.7,4941,18.63,Blue,Small,Leather,4,Western Sahara,Chennai,2025-10-24,Active
P1029,Financial Smart Watch,Electronics,Smart Watch,IKEA,Schmidt-Cole,10172,24,114,3.5,6791,2.37,Silver,Small,Leather,2,Paraguay,Pune,2025-08-12,Active
P1030,Win Tablet,Electronics,Tablet,Samsung,Krueger Inc,79153,24,214,3.9,9671,15.92,Black,Large,Leather,2,Bolivia,Delhi,2026-01-12,Inactive
P1031,So Bed,Furniture,Bed,Samsung,Johnson-Harmon,25159,24,322,3.6,4896,2.76,Silver,Large,Leather,4,Niger,Chennai,2025-08-27,Inactive
P1032,Here Table,Furniture,Table,IKEA,"Holder, Wheeler and King",72756,1,41,4.9,332,7.68,Silver,Small,Plastic,1,Turkey,Delhi,2024-09-13,Active
P1033,Spend Jacket,Fashion,Jacket,Nike,Sharp-Harvey,6749,30,244,3.0,3856,2.23,Red,Medium,Aluminium,3,Bouvet Island (Bouvetoya),Hyderabad,2025-04-29,Active
P1034,Source Rice,Grocery,Rice,Dell,Peterson-Hampton,5223,34,587,4.8,3048,1.03,White,Medium,Metal,4,French Guiana,Mumbai,2026-04-20,Active
P1035,Method Rice,Grocery,Rice,Apple,Ramirez-Sanders,81973,22,440,3.5,3460,17.68,Red,Standard,Plastic,1,Romania,Pune,2025-07-01,Active
P1036,Campaign Jacket,Fashion,Jacket,Adidas,"Wright, King and Adams",62530,23,341,3.1,1923,3.08,Silver,Small,Plastic,5,Argentina,Chennai,2024-10-27,Active
P1037,Staff Shirt,Fashion,Shirt,Apple,Wilson PLC,59567,10,783,4.6,9466,5.87,Black,Standard,Glass,3,San Marino,Delhi,2025-01-28,Inactive
P1038,Close Rice,Grocery,Rice,Samsung,"Henderson, Adams and Welch",91812,22,447,3.5,3007,9.85,Red,Small,Aluminium,1,Western Sahara,Mumbai,2024-10-02,Active
P1039,Artist Mobile,Electronics,Mobile,Apple,Andersen-Anderson,30242,8,514,4.1,8169,17.5,Blue,Medium,Plastic,0,Norfolk Island,Delhi,2025-04-12,Inactive
P1040,Everything Shirt,Fashion,Shirt,Nike,"Randall, Hernandez and Miller",3003,3,610,4.2,1772,17.36,Silver,Large,Leather,0,Antarctica (the territory South of 60 deg S),Pune,2025-09-08,Active
P1041,Letter Oil,Grocery,Oil,IKEA,Levine and Sons,85601,13,620,4.2,6870,3.32,Blue,Large,Plastic,0,Cyprus,Bangalore,2025-07-22,Inactive
P1042,Determine Jacket,Fashion,Jacket,Apple,"Dixon, Stephenson and Hutchinson",23091,15,503,4.4,2100,12.52,White,Standard,Plastic,2,Angola,Chennai,2026-03-21,Inactive
P1043,Fast Jeans,Fashion,Jeans,Apple,Morris Inc,32487,20,694,4.7,8262,4.46,Silver,Large,Plastic,5,Tunisia,Mumbai,2024-12-31,Inactive
P1044,Local Chair,Furniture,Chair,Dell,"Ellis, Rodgers and Kramer",78235,16,950,4.2,7460,5.33,White,Small,Aluminium,3,Guyana,Bangalore,2026-04-02,Active
P1045,Set Jeans,Fashion,Jeans,Apple,Arnold PLC,18838,6,980,4.3,9473,7.37,Silver,Medium,Leather,4,Cuba,Chennai,2025-03-21,Inactive
P1046,Activity Beverages,Grocery,Beverages,Samsung,"West, Taylor and Hernandez",39160,22,345,4.0,9089,10.77,Black,Medium,Leather,2,Guinea,Pune,2024-09-21,Active
P1047,Boy Headphones,Electronics,Headphones,Adidas,Garcia PLC,21516,2,530,4.0,3156,9.34,White,Small,Leather,5,Saint Barthelemy,Pune,2025-11-15,Active
P1048,Cover Laptop,Electronics,Laptop,Samsung,Pearson and Sons,96449,5,626,4.1,771,4.36,Black,Medium,Plastic,2,Azerbaijan,Chennai,2025-12-04,Active
P1049,Benefit Shirt,Fashion,Shirt,Samsung,Smith-Perez,22013,10,95,3.1,7241,8.02,Red,Standard,Leather,4,Albania,Delhi,2026-05-09,Inactive
P1050,Plant Sofa,Furniture,Sofa,Adidas,Myers Ltd,57947,20,250,4.0,8551,4.72,Red,Medium,Metal,4,Russian Federation,Hyderabad,2025-05-13,Inactive
P1051,Time Headphones,Electronics,Headphones,Samsung,Williams Ltd,17878,37,524,4.2,9369,2.05,White,Small,Aluminium,1,Uruguay,Mumbai,2025-04-22,Active
P1052,Rather Chair,Furniture,Chair,Sony,Jones-Williams,99118,40,685,4.3,6232,1.34,White,Small,Glass,0,New Caledonia,Chennai,2024-09-24,Inactive
P1053,Set Oil,Grocery,Oil,Dell,Olson-Lawson,58120,24,598,3.0,357,1.15,White,Large,Glass,2,Guernsey,Hyderabad,2024-10-07,Active
P1054,Laugh Beverages,Grocery,Beverages,Adidas,"Evans, Nelson and Santiago",50901,37,265,3.8,5067,12.25,White,Standard,Aluminium,3,Greece,Mumbai,2026-03-03,Active
P1055,Wind Beverages,Grocery,Beverages,Adidas,"Conway, Fernandez and Cummings",90622,27,907,4.4,4712,11.37,White,Large,Glass,0,Spain,Chennai,2026-06-27,Active
P1056,Create Tablet,Electronics,Tablet,Samsung,"Brown, James and Hall",6583,19,290,4.0,3359,17.3,Black,Large,Metal,2,Papua New Guinea,Hyderabad,2025-12-09,Active
P1057,College Mobile,Electronics,Mobile,Dell,Downs-Rocha,8390,16,287,3.9,3453,16.91,Blue,Standard,Glass,5,Antarctica (the territory South of 60 deg S),Pune,2025-05-22,Active
P1058,Team Snacks,Grocery,Snacks,Adidas,Griffin-Miller,20983,2,188,4.2,2662,3.43,White,Standard,Aluminium,2,Solomon Islands,Mumbai,2025-12-28,Inactive
P1059,Democrat Beverages,Grocery,Beverages,HP,"Jones, Pugh and Lopez",9502,11,763,4.8,2867,3.73,Blue,Large,Plastic,5,Iraq,Hyderabad,2025-11-30,Inactive
P1060,Little Chair,Furniture,Chair,Sony,"Cohen, Johnson and Martin",50788,2,883,4.2,7475,7.28,Black,Large,Glass,0,South Africa,Hyderabad,2026-01-28,Active
P1061,Economy Beverages,Grocery,Beverages,Sony,Roth PLC,9087,39,701,3.5,8846,2.49,Red,Large,Plastic,3,Montenegro,Bangalore,2025-08-30,Active
P1062,Result Jacket,Fashion,Jacket,Dell,Burns-Thompson,61920,9,659,4.6,2650,0.97,Black,Small,Aluminium,2,India,Mumbai,2025-05-01,Active
P1063,Thousand Oil,Grocery,Oil,Sony,"Mcclure, Allen and Davis",96268,19,534,4.8,1907,12.72,White,Standard,Metal,2,Malta,Delhi,2025-01-22,Inactive
P1064,Past Bed,Furniture,Bed,HP,Orozco-Lane,18471,3,680,3.2,9681,17.86,Silver,Large,Glass,1,Swaziland,Mumbai,2025-02-28,Active
P1065,Team Bed,Furniture,Bed,Sony,"Cook, Allen and Hall",26948,2,856,3.5,1149,1.94,Black,Small,Aluminium,2,Iceland,Chennai,2026-04-25,Inactive
P1066,Deal Bed,Furniture,Bed,Nike,"Lopez, Baker and Caldwell",22006,1,152,3.0,4998,2.55,White,Medium,Aluminium,0,Equatorial Guinea,Delhi,2025-10-29,Inactive
P1067,Speak Laptop,Electronics,Laptop,Apple,Nguyen-Durham,90419,15,294,3.8,3339,0.42,Silver,Medium,Metal,2,Korea,Pune,2026-02-24,Inactive
P1068,Someone Table,Furniture,Table,Sony,"Moss, Wood and Bray",23642,23,659,3.8,8702,7.99,Blue,Medium,Aluminium,4,Cuba,Mumbai,2026-02-20,Inactive
P1069,Network Oil,Grocery,Oil,HP,"Gonzalez, Smith and Williams",46772,24,345,5.0,2459,8.91,Red,Standard,Aluminium,5,Ecuador,Delhi,2024-10-01,Active
P1070,Should Snacks,Grocery,Snacks,IKEA,Jenkins-Cook,23910,32,555,4.4,1776,3.11,White,Large,Aluminium,0,Guernsey,Mumbai,2025-08-20,Active
P1071,Discussion Sofa,Furniture,Sofa,Nike,Barker Inc,94332,10,661,4.8,272,7.84,Red,Large,Metal,3,Saudi Arabia,Hyderabad,2025-03-10,Active
P1072,Meeting Smart Watch,Electronics,Smart Watch,Sony,"Wood, Smith and Powell",93925,18,871,3.6,2162,3.52,Silver,Standard,Aluminium,2,Bosnia and Herzegovina,Hyderabad,2025-10-04,Active
P1073,Popular Snacks,Grocery,Snacks,IKEA,Fitzgerald-Gomez,66872,12,16,4.2,5996,12.67,Blue,Standard,Leather,1,Tanzania,Bangalore,2025-05-30,Active
P1074,Project Oil,Grocery,Oil,HP,Roberts-Kennedy,32605,29,612,4.6,2219,6.75,White,Large,Plastic,0,Armenia,Delhi,2026-04-07,Active
P1075,Drop Jacket,Fashion,Jacket,HP,"Curtis, Warren and Allen",9204,22,829,4.7,370,11.33,Blue,Standard,Plastic,1,Mali,Pune,2024-10-14,Active
P1076,Case Bed,Furniture,Bed,Dell,Lewis Group,71677,11,735,3.8,2665,3.62,Black,Medium,Plastic,3,Hungary,Chennai,2025-10-30,Active
P1077,Television Shirt,Fashion,Shirt,Adidas,Robertson-Monroe,32467,14,701,3.5,4167,14.71,Blue,Small,Glass,5,Zambia,Mumbai,2026-01-01,Active
P1078,With Jeans,Fashion,Jeans,Sony,"Cox, Nash and Boyer",33626,4,436,4.5,4003,16.73,Silver,Small,Plastic,4,Congo,Pune,2025-01-15,Inactive
P1079,Summer Smart Watch,Electronics,Smart Watch,Dell,"Williams, Baldwin and Rodriguez",27893,0,477,4.1,1854,19.65,Blue,Medium,Leather,3,United Kingdom,Hyderabad,2026-07-31,Active
P1080,College Smart Watch,Electronics,Smart Watch,IKEA,Sanchez-Henderson,98720,38,420,3.1,9887,8.12,Blue,Medium,Glass,4,British Indian Ocean Territory (Chagos Archipelago),Mumbai,2025-05-01,Active
P1081,Including Headphones,Electronics,Headphones,HP,Gibbs and Sons,32933,34,652,4.4,2657,3.86,Red,Standard,Leather,0,Oman,Mumbai,2024-09-15,Inactive
P1082,Which Table,Furniture,Table,Apple,Tran-Chase,20103,9,949,5.0,3884,6.94,Red,Standard,Aluminium,2,Hungary,Chennai,2025-12-12,Active
P1083,Material Mobile,Electronics,Mobile,Samsung,Greene-Buck,67784,40,469,4.0,289,10.83,Red,Small,Metal,4,Lesotho,Bangalore,2025-09-11,Inactive
P1084,Example Sofa,Furniture,Sofa,Samsung,Johnson-Taylor,64502,12,713,3.5,180,15.32,Red,Small,Plastic,2,Kiribati,Mumbai,2026-04-18,Active
P1085,Actually Sofa,Furniture,Sofa,Sony,"Silva, Beard and Reed",38007,1,260,4.2,1351,2.43,Black,Medium,Aluminium,2,Libyan Arab Jamahiriya,Mumbai,2024-12-20,Inactive
P1086,Father Mobile,Electronics,Mobile,Nike,Arroyo and Sons,32949,18,277,3.2,7785,10.28,Red,Standard,Metal,4,British Indian Ocean Territory (Chagos Archipelago),Chennai,2024-09-21,Inactive
P1087,What Table,Furniture,Table,Apple,"Pugh, Silva and Marks",32671,30,231,4.8,9281,7.31,Red,Standard,Glass,3,Malawi,Delhi,2025-11-04,Active
P1088,Heart Shirt,Fashion,Shirt,Apple,"Webb, Delacruz and Archer",63609,11,452,3.9,8162,17.96,Blue,Medium,Leather,4,Mauritania,Chennai,2024-10-08,Inactive
P1089,When Oil,Grocery,Oil,IKEA,"Caldwell, Hoffman and Hernandez",6449,2,401,3.1,6641,17.27,Blue,Large,Glass,3,Argentina,Pune,2024-11-09,Active
P1090,Choice Snacks,Grocery,Snacks,Adidas,"Campbell, Kim and Herman",89713,27,218,3.6,7119,0.94,Black,Medium,Leather,5,United States Minor Outlying Islands,Mumbai,2025-08-08,Active
P1091,Born Tablet,Electronics,Tablet,Apple,White PLC,80968,29,247,4.5,8951,17.1,Black,Large,Plastic,5,Anguilla,Delhi,2026-02-10,Inactive
P1092,Stuff Sofa,Furniture,Sofa,Apple,Best LLC,22523,28,388,4.1,9037,1.45,Red,Small,Leather,5,Cameroon,Chennai,2024-08-24,Active
P1093,Send Mobile,Electronics,Mobile,Apple,Thompson Group,50607,19,827,4.5,490,8.35,Silver,Small,Leather,2,Greece,Bangalore,2025-03-08,Inactive
P1094,Certain Laptop,Electronics,Laptop,Samsung,Zimmerman PLC,89550,7,164,4.6,6239,14.26,Blue,Large,Leather,3,Mongolia,Bangalore,2024-09-07,Active
P1095,Modern Oil,Grocery,Oil,Adidas,"Cantu, Wallace and Bell",41039,37,928,3.3,6312,15.84,Blue,Large,Aluminium,0,Comoros,Hyderabad,2025-10-22,Inactive
P1096,During Sofa,Furniture,Sofa,Adidas,"Baldwin, Smith and Perkins",80604,13,400,4.2,1322,5.09,Red,Medium,Plastic,0,India,Hyderabad,2026-05-06,Active
P1097,Stock Oil,Grocery,Oil,Adidas,"Ross, Nelson and Mccullough",83377,18,878,4.2,587,12.73,Silver,Small,Glass,1,Bermuda,Chennai,2026-07-28,Inactive
P1098,Which Snacks,Grocery,Snacks,HP,Powers-Hubbard,67730,18,542,3.3,1118,15.32,Red,Medium,Leather,5,Haiti,Pune,2025-11-06,Active
P1099,Someone Shoes,Fashion,Shoes,HP,Brewer Group,54266,35,193,3.7,3040,0.41,Black,Medium,Aluminium,4,Finland,Bangalore,2025-07-31,Active
P1100,Argue Oil,Grocery,Oil,Nike,Osborne-Morrow,14979,25,571,3.1,291,17.86,White,Small,Glass,5,Tajikistan,Bangalore,2025-11-04,Inactive
P1101,Pm Mobile,Electronics,Mobile,Nike,Patterson-Nichols,5382,4,6,3.1,9348,14.68,White,Large,Leather,3,South Africa,Mumbai,2025-04-12,Active
P1102,Study Bed,Furniture,Bed,Dell,Kent-Cain,16153,29,542,3.8,1779,11.81,White,Medium,Leather,0,Estonia,Delhi,2024-11-21,Inactive
P1103,Office Tablet,Electronics,Tablet,Samsung,Scott Ltd,34038,7,800,4.1,6391,16.85,Blue,Large,Plastic,1,Andorra,Chennai,2024-08-13,Active
P1104,Fine Mobile,Electronics,Mobile,Sony,Daugherty-Davis,682,5,852,4.6,7383,1.13,Red,Large,Leather,1,Saudi Arabia,Hyderabad,2024-12-23,Inactive
P1105,Minute Smart Watch,Electronics,Smart Watch,Apple,Pena-Edwards,51154,32,324,3.2,5587,13.78,White,Standard,Plastic,5,Bulgaria,Hyderabad,2025-02-19,Active
P1106,Improve Rice,Grocery,Rice,Nike,Larson Inc,73213,8,298,3.2,4977,11.68,White,Standard,Metal,1,Gabon,Hyderabad,2024-10-31,Inactive
P1107,Give Bed,Furniture,Bed,Dell,Ochoa LLC,70250,16,171,4.8,751,4.4,White,Small,Plastic,2,Nicaragua,Pune,2025-06-19,Active
P1108,Forget Smart Watch,Electronics,Smart Watch,Samsung,"Sloan, Mccormick and Webb",70688,32,384,3.7,3001,12.88,Silver,Small,Glass,0,Venezuela,Hyderabad,2025-03-10,Active
P1109,There Shoes,Fashion,Shoes,Samsung,Garcia Inc,28796,22,680,4.3,7488,13.84,Silver,Standard,Metal,2,Botswana,Pune,2026-07-01,Inactive
P1110,Special Oil,Grocery,Oil,Sony,Scott-Perez,69852,31,632,3.3,7220,0.85,Red,Large,Metal,0,Libyan Arab Jamahiriya,Chennai,2026-06-28,Inactive
P1111,Catch Sofa,Furniture,Sofa,Samsung,"Lucas, Miller and Douglas",68689,36,510,3.2,5475,12.18,Black,Medium,Leather,4,Australia,Bangalore,2025-02-11,Inactive
P1112,Bad Shirt,Fashion,Shirt,Samsung,Garcia PLC,37261,26,533,3.5,7424,5.86,White,Large,Plastic,4,British Indian Ocean Territory (Chagos Archipelago),Bangalore,2025-04-13,Inactive
P1113,Boy Oil,Grocery,Oil,IKEA,Coleman Group,71322,10,167,3.0,7835,19.51,Silver,Small,Leather,5,Iran,Chennai,2026-03-18,Inactive
P1114,Mean Rice,Grocery,Rice,HP,"Arias, Cole and Hernandez",61561,16,358,3.2,8573,19.14,Silver,Large,Plastic,4,Mayotte,Delhi,2025-02-14,Inactive
P1115,Response Beverages,Grocery,Beverages,Sony,Walker-Watson,22735,28,591,4.1,1483,8.9,Blue,Medium,Glass,5,Denmark,Mumbai,2025-08-29,Inactive
P1116,Change Jeans,Fashion,Jeans,Sony,Graham PLC,63456,9,134,4.9,5815,15.12,Silver,Large,Aluminium,4,United States Minor Outlying Islands,Hyderabad,2025-04-25,Inactive
P1117,Anything Oil,Grocery,Oil,Nike,Harper-Coleman,97990,24,9,5.0,1915,17.45,White,Medium,Leather,4,Moldova,Mumbai,2025-03-16,Active
P1118,Thousand Rice,Grocery,Rice,Sony,Gaines Inc,64910,34,788,4.6,384,6.68,Blue,Small,Aluminium,5,Iceland,Bangalore,2025-03-06,Inactive
P1119,Feeling Shirt,Fashion,Shirt,Adidas,Butler Ltd,75484,18,101,3.9,9363,2.94,Red,Small,Plastic,3,Northern Mariana Islands,Pune,2024-11-19,Inactive
P1120,Relate Jacket,Fashion,Jacket,Samsung,Ellison-Peterson,99583,26,91,4.6,2188,6.03,Blue,Standard,Metal,1,Timor-Leste,Chennai,2025-05-16,Active
P1121,Field Mobile,Electronics,Mobile,IKEA,Taylor-Evans,85499,22,546,3.1,8095,3.94,Black,Large,Metal,4,Taiwan,Mumbai,2025-05-06,Inactive
P1122,Dog Laptop,Electronics,Laptop,Nike,"Burton, Le and Flores",30537,22,763,3.8,367,15.9,Blue,Standard,Leather,0,Malawi,Pune,2025-12-08,Inactive
P1123,Oil Jeans,Fashion,Jeans,Sony,"Franklin, Cohen and Thomas",60697,27,606,3.2,6515,12.51,Black,Small,Leather,5,Togo,Delhi,2025-09-17,Inactive
P1124,Authority Laptop,Electronics,Laptop,Dell,Medina-Maldonado,94647,5,310,3.3,372,14.6,Blue,Standard,Aluminium,5,Russian Federation,Mumbai,2024-09-06,Inactive
P1125,Hotel Rice,Grocery,Rice,Nike,Dorsey LLC,11911,36,865,3.6,1061,14.6,White,Standard,Aluminium,0,Malta,Delhi,2025-08-19,Inactive
P1126,Contain Bed,Furniture,Bed,Nike,Ford and Sons,34340,5,330,4.2,9874,15.85,Silver,Standard,Leather,2,Ghana,Chennai,2025-06-02,Active
P1127,At Mobile,Electronics,Mobile,Sony,Thomas-Davis,13354,19,865,3.5,1633,14.37,White,Medium,Aluminium,5,Gibraltar,Hyderabad,2024-12-31,Inactive
P1128,Ever Snacks,Grocery,Snacks,HP,"Rodriguez, Anderson and Ellis",6384,26,880,4.4,3542,15.16,Red,Small,Leather,2,Somalia,Mumbai,2024-09-15,Active
P1129,Hospital Shirt,Fashion,Shirt,Sony,"Rodriguez, Alexander and King",36077,38,961,4.5,6271,14.76,Blue,Standard,Metal,5,Croatia,Bangalore,2024-10-11,Inactive
P1130,Buy Rice,Grocery,Rice,Dell,Nguyen Group,55961,12,936,3.6,8565,8.04,Black,Standard,Glass,3,Ecuador,Chennai,2025-08-12,Inactive
P1131,Everything Shoes,Fashion,Shoes,IKEA,Valdez-Powers,62621,29,452,3.8,4200,16.68,Red,Standard,Metal,5,Belarus,Chennai,2026-03-03,Inactive
P1132,Identify Chair,Furniture,Chair,Dell,Wu-Gordon,56976,23,917,3.6,5204,18.15,Blue,Large,Leather,1,British Virgin Islands,Delhi,2025-12-19,Active
P1133,Enough Tablet,Electronics,Tablet,Nike,"Munoz, Mcpherson and Everett",33816,24,760,3.5,5883,14.03,Blue,Large,Metal,4,Central African Republic,Mumbai,2025-02-03,Inactive
P1134,Clear Sofa,Furniture,Sofa,Dell,Gordon-Gomez,32282,25,518,3.3,8231,17.96,Black,Standard,Glass,4,Antigua and Barbuda,Delhi,2024-11-12,Active
P1135,Still Sofa,Furniture,Sofa,Apple,"Romero, Jackson and Harmon",29566,22,79,4.2,7512,12.69,Black,Medium,Glass,3,Peru,Chennai,2025-12-23,Inactive
P1136,But Rice,Grocery,Rice,HP,"Ritter, Jackson and Huff",21697,19,650,3.7,507,13.85,Black,Large,Metal,0,Ecuador,Chennai,2025-05-13,Active
P1137,Cold Shirt,Fashion,Shirt,Sony,Weaver-Cline,51221,3,490,3.6,1605,8.22,Red,Large,Plastic,4,Philippines,Chennai,2025-09-29,Inactive
P1138,Point Shirt,Fashion,Shirt,HP,Carter Group,97642,0,521,3.7,3234,4.68,Silver,Standard,Plastic,3,Cote d'Ivoire,Bangalore,2024-08-24,Active
P1139,Agent Smart Watch,Electronics,Smart Watch,Dell,Kim-Gates,77829,21,218,3.8,8680,10.89,Blue,Medium,Plastic,3,Fiji,Pune,2025-09-29,Active
P1140,Final Snacks,Grocery,Snacks,Adidas,"Greer, Mcgee and Owens",13563,24,753,3.6,7929,13.27,Black,Large,Metal,3,Armenia,Bangalore,2024-12-17,Active
P1141,Quality Laptop,Electronics,Laptop,Sony,Henry and Sons,36810,4,793,4.2,40,5.82,Black,Standard,Aluminium,5,Saint Pierre and Miquelon,Delhi,2025-02-28,Inactive
P1142,Voice Jacket,Fashion,Jacket,IKEA,Collins-Richards,49091,39,61,3.9,7511,14.47,Black,Large,Plastic,0,Cayman Islands,Bangalore,2026-03-29,Inactive
P1143,Break Chair,Furniture,Chair,Nike,Johnson Group,26041,16,239,4.1,9593,19.25,Blue,Medium,Aluminium,1,Angola,Hyderabad,2026-02-14,Inactive
P1144,Style Oil,Grocery,Oil,Nike,Alvarado-Craig,44268,5,903,4.2,3114,14.95,Blue,Standard,Aluminium,1,Oman,Chennai,2024-11-05,Active
P1145,Address Headphones,Electronics,Headphones,Nike,"Moore, Foster and Baxter",49032,40,354,3.6,8321,4.08,Black,Large,Plastic,3,French Polynesia,Pune,2026-01-26,Inactive
P1146,Inside Chair,Furniture,Chair,Apple,Nichols-Romero,4812,33,331,4.1,5789,17.3,Red,Standard,Leather,2,Hong Kong,Delhi,2024-08-23,Inactive
P1147,Perhaps Oil,Grocery,Oil,HP,Rasmussen Ltd,18875,12,672,4.1,1692,19.55,Black,Standard,Plastic,2,Jamaica,Pune,2024-12-06,Inactive
P1148,Education Shoes,Fashion,Shoes,Dell,"Carter, Pollard and Cisneros",38852,29,39,5.0,7380,10.03,Silver,Large,Plastic,2,Korea,Delhi,2024-09-14,Active
P1149,Cultural Smart Watch,Electronics,Smart Watch,Sony,"Ruiz, Smith and Johnson",96450,14,919,3.8,6468,4.03,Blue,Small,Metal,4,Anguilla,Pune,2025-07-10,Active
P1150,Follow Beverages,Grocery,Beverages,Apple,"Mathews, Phillips and James",66983,8,908,3.4,8315,16.95,White,Small,Leather,3,Isle of Man,Delhi,2024-08-13,Active
P1151,I Table,Furniture,Table,Sony,"Zhang, Buchanan and Harris",49592,3,868,4.5,1008,15.4,Black,Standard,Plastic,3,Uruguay,Delhi,2025-04-16,Inactive
P1152,Bar Rice,Grocery,Rice,HP,Ramirez and Sons,36637,9,57,3.2,6430,13.7,White,Large,Aluminium,4,Saint Lucia,Bangalore,2025-01-27,Active
